Artikel,Deutsch Wort,Englisch Wort
der,Baum,tree
der,Apfel,apple
der,Hund,dog
der,Tisch,table
der,Stuhl,chair
der,Vogel,bird
der,Fisch,fish
der,Zug,train
der,Wagen,car
der,Freund,friend
der,Sohn,son
der,Bruder,brother
der,Mond,moon
der,Himmel,sky
der,Berg,mountain
der,Fluss,river
der,Ball,ball
der,Schuh,shoe
der,Computer,computer
der,Lehrer,teacher
die,Katze,cat
die,Blume,flower
die,Frau,woman
die,Mutter,mother
die,Tochter,daughter
die,Lampe,lamp
die,Tasche,bag
die,Uhr,clock/watch
die,Straße,street
die,Schule,school
die,Tasse,cup
die,Wand,wall
die,Zeitung,newspaper
die,Sonne,sun
die,Wolke,cloud
die,Tür,door
die,Brille,glasses
die,Milch,milk
die,Arbeit,work
die,Familie,family
das,Haus,house
das,Auto,car
das,Kind,child
das,Buch,book
das,Wasser,water
das,Brot,bread
das,Fenster,window
das,Zimmer,room
das,Bett,bed
das,Tier,animal
das,Fahrrad,bicycle
das,Handy,cell phone
das,Bild,picture
das,Glas,glass
das,Messer,knife
das,Spiel,game
das,Problem,problem
das,Jahr,year
das,Mädchen,girl
das,Essen,food
der,Kopf,head
die,Nase,nose
das,Ohr,ear
der,Arm,arm
die,Hand,hand
das,Bein,leg
der,Fuß,foot
die,Farbe,color
das,Herz,heart
der,Stern,star
die,Stadt,city
das,Dorf,village
der,Garten,garden
die,Brücke,bridge
das,Meer,sea
der,See,lake
die,Insel,island
das,Schiff,ship
der,Hafen,harbor
die,Reise,trip
der,Gedanke,thought
die,Liebe,love
das,Glück,luck
der,Traum,dream
die,Hoffnung,hope
das,Leben,life
der,Erfolg,success
die,Angst,fear
das,Gefühl,feeling
der,Wunsch,wish
die,Zeitung,newspaper
der,Schlüssel,key
das,Feuer,fire
der,Kühlschrank,refrigerator
die,Waschmaschine,washing machine
das,Telefon,phone
der,Schrank,closet
die,Tafel,board
das,Licht,light
der,Regenschirm
